ἐπικέλλω|ἐπί+κέλλω
ἐπικρίνω|ἐπί+κρίνω
ἐπιλαμβάνομαι|ἐπί+λαμβάνομαι
ἐπιλανθάνομαι|ἐπί+λανθάνομαι
ἐπιλέγω|ἐπί+λέγω
ἐπιλείπω|ἐπί+λείπω
ἐπιλείχω|ἐπί+λείχω
ἐπιλύω|ἐπί+λύω
ἐπιμαρτυρέω|ἐπί+μαρτυρέω
ἐπιμελέομαι|ἐπί+μελέομαι
ἐπιμένω|ἐπί+μένω
ἐπινεύω|ἐπί+νεύω
ἐπιορκέω|ἐπί+ὁρκέω
ἐπιπίπτω|ἐπί+πίπτω
ἐπιπλήσσω|ἐπί+πλήσσω
ἐπιποθέω|ἐπί+ποθέω
ἐπιπορεύομαι|ἐπί+πορεύομαι
ἐπιράπτω|ἐπί+ῥάπτω
ἐπιρίπτω|ἐπί+ῥίπτω
ἐπισκέπτομαι|ἐπί+σκέπτομαι
ἐπισκευάζομαι|ἐπί+σκευάζομαι
ἐπισκηνόω|ἐπί+σκηνόω
ἐπισκιάζω|ἐπί+σκιάζω
ἐπισκοπέω|ἐπί+σκοπέω
ἐπισπάομαι|ἐπί+σπάομαι
ἐπισπείρω|ἐπί+σπείρω
ἐπίσταμαι|ἐπί+ἵσταμαι
ἐπιστέλλω|ἐπί+στέλλω
ἐπιστηρίζω|ἐπί+στηρίζω
ἐπιστομίζω|ἐπί+στόμα
ἐπιστρέφω|ἐπί+στρέφω
ἐπισυνάγω|ἐπί+σύν+ἄγω
ἐπισυντρέχω|ἐπί+σύν+τρέχω
ἐπισχύω|ἐπί+ἰσχύω
ἐπισωρεύω|ἐπί+σωρεύω
ἐπιτάσσω|ἐπί+τάσσω
ἐπιτελέω|ἐπί+τελέω
ἐπιτίθημι|ἐπί+τίθημι
ἐπιτιμάω|ἐπί+τιμάω
ἐπιτρέπω|ἐπί+τρέπω
ἐπιτυγχάνω|ἐπί+τυγχάνω
ἐπιφαίνω|ἐπί+φαίνω
ἐπιφαύσκω|ἐπί+φαυσκω
ἐπιφέρω|ἐπί+φέρω
ἐπιφωνέω|ἐπί+φωνέω
ἐπιφώσκω|ἐπί+φώσκω
ἐπιχειρέω|ἐπί+χείρ
ἐπιχέω|ἐπί+χέω
ἐπιχορηγέω|ἐπί+χορηγέω
ἐπιχρίω|ἐπί+χρίω
ἐποικοδομέω|ἐπί+οἰκοδομέω
ἐπονομάζομαι|ἐπί+ὀνομάζομαι
ἐποπτεύω|ἐπί+ὀπτεύω
ἐφάλλομαι|ἐπί+ἅλλομαι
ἐφικνέομαι|ἐπί+ἱκνέομαι
ἐφίστημι|ἐπί+ἵστημι
καθαιρέω|κατά+αἱρέω
καθάπτω|κατά+ἅπτω
καθέζομαι|κατά+ἕζομαι
καθεύδω|κατά+εὕδω
καθήκω|κατά+ἥκω
κάθημαι|κατά+ἧμαι
καθίζω|κατά+ἵζω
καθίημι|κατά+ἵημι
καθίστημι|κατά+ἵστημι
καθοπλίζω|κατά+ὁπλίζω
καθοράω|κατά+ὁράω
καμμύω|κατά+μύω
καταβαίνω|κατά+βαίνω
καταβάλλω|κατά+βάλλω
καταβαρέω|κατά+βαρέω
καταβαρύνομαι|κατά+βαρύνομαι
καταβραβεύω|κατά+βραβεύω
καταγγέλλω|κατά+ἀγγέλλω
καταγελάω|κατά+γελάω
καταγινώσκω|κατά+γινώσκω
κατάγνυμι|κατά+ἄγνυμι
κατάγω|κατά+ἄγω
καταγωνίζομαι|κατά+ἀγωνίζομαι
καταδέω|κατά+δέω
καταδικάζω|κατά+δικάζω
καταδιώκω|κατά+διώκω
καταδουλόω|κατά+δουλόω
καταδυναστεύω|κατά+δυναστεύω
καταθεματίζω|κατά+θεματίζω
καταισχύνω|κατά+αἰσχύνω
κατακαίω|κατά+καίω
κατακαλύπτομαι|κατά+καλύπτομαι
κατακαυχάομαι|κατά+καυχάομαι
κατάκειμαι|κατά+κεῖμαι
